"","title","genre","series_movie"
"1","Lets Fight Ghost","Crime","Series"
"2","Lets Fight Ghost","Drama","Series"
"3","Lets Fight Ghost","Fantasy","Series"
"4","Lets Fight Ghost","Horror","Series"
"5","Lets Fight Ghost","Romance","Series"
"6","HOW TO BUILD A GIRL","Comedy","Movie"
"7","Centigrade","Drama","Movie"
"8","Centigrade","Thriller","Movie"
"9","ANNE+","Drama","Series"
"10","Moxie","Animation","Movie"
"11","Moxie","Short","Movie"
"12","Moxie","Drama","Movie"
"13","The Con-Heartist","Comedy","Movie"
"14","The Con-Heartist","Romance","Movie"
"15","Gleboka woda","Drama","Series"
"16","Instynkt","Crime","Series"
"17","Only a Mother","Drama","Movie"
"18","Snowroller","Comedy","Movie"
"19","Sunes Summer","Comedy","Movie"
"20","Sunes Summer","Family","Movie"
"21","Sunes Summer","Fantasy","Movie"
"22","The Invisible","Crime","Movie"
"23","The Invisible","Drama","Movie"
"24","The Invisible","Fantasy","Movie"
"25","The Invisible","Mystery","Movie"
"26","The Invisible","Thriller","Movie"
"27","The Simple Minded Murderer","Drama","Movie"
"28","The Stig-Helmer Story","Comedy","Movie"
"29","The Stig-Helmer Story","Drama","Movie"
"30","To Kill a Child","Short","Movie"
"31","To Kill a Child","Drama","Movie"
"32","Joker","Crime","Movie"
"33","Joker","Drama","Movie"
"34","Joker","Thriller","Movie"
"35","I","Action","Movie"
"36","I","Adventure","Movie"
"37","I","Fantasy","Movie"
"38","I","Sci-Fi","Movie"
"39","Harrys Daughters","Adventure","Movie"
"40","Harrys Daughters","Drama","Movie"
"41","Harrys Daughters","Fantasy","Movie"
"42","Harrys Daughters","Mystery","Movie"
"43","Gyllene Tider","Music","Movie"
"44","False As Water","Drama","Movie"
"45","False As Water","Thriller","Movie"
"46","Bang!","Short","Movie"
"47","A Guest Is Coming","Thriller","Movie"
"48","1939","Drama","Movie"
"49","Girls und Panzer das Finale","Animation","Series"
"50","Girls und Panzer das Finale","Action","Series"
"51","Girls und Panzer das Finale","Comedy","Series"
"52","Indoo Ki Jawani","Comedy","Movie"
"53","Indoo Ki Jawani","Drama","Movie"
"54","The Coroner","Crime","Series"
"55","The Coroner","Drama","Series"
"56","Brave New World","Drama","Series"
"57","Brave New World","Sci-Fi","Series"
"58","Comrades: Almost a Love Story","Drama","Movie"
"59","Comrades: Almost a Love Story","Romance","Movie"
"60","The Closet","Comedy","Movie"
"61","The Mysterians","Action","Movie"
"62","The Mysterians","Family","Movie"
"63","The Mysterians","Sci-Fi","Movie"
"64","The Mysterians","Thriller","Movie"
